user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.161	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.8	0.98	GCF_000296465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	98.8	0.98	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002161555.1, s__Barnesiella sp002161555, 95.0, 78.75, 0.3; GCF_000512915.1, s__Barnesiella viscericola, 95.0, 78.62, 0.3; GCF_002159975.1, s__Barnesiella sp002159975, 95.0, 78.33, 0.31; GCA_900538555.1, s__Barnesiella sp900538555, 95.0, 77.22, 0.11; GCA_003150885.1, s__Barnesiella sp003150885, 95.0, 77.04, 0.09; GCA_900542255.1, s__Barnesiella sp900542255, 95.0, 76.12, 0.05; GCA_900538705.1, s__Barnesiella sp900538705, 95.0, 75.9, 0.05	81.31	11	N/A	N/A
bin.162	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__	N/A	N/A	N/A	N/A	N/A	GCA_004555865.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__SFJ001 sp004555865	93.09	0.73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	36.25	11	0.9978171816135245	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.164	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ANI	N/A	GCA_000435755.1, s__CAG-273 sp000435755, 95.0, 78.63, 0.37; GCA_000437855.1, s__CAG-273 sp000437855, 95.0, 78.17, 0.38; GCA_000438355.1, s__CAG-273 sp000438355, 95.0, 77.65, 0.32; GCA_003534295.1, s__CAG-273 sp003534295, 95.0, 77.57, 0.3; GCA_003507395.1, s__CAG-273 sp003507395, 95.0, 77.53, 0.32	62.9	11	0.9021351939763245	Genome has more than 10.0% of markers with multiple hits
bin.165	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	98.36	0.93	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	98.36	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000210575.1, s__Alistipes shahii, 95.0, 79.3, 0.42; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 79.28, 0.43; GCF_006542685.1, s__Alistipes sp006542685, 95.0, 79.16, 0.4; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 79.11, 0.42; GCF_900107675.1, s__Alistipes timonensis, 95.0, 79.04, 0.41; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 79.02, 0.29; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 78.96, 0.43; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 78.94, 0.37; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 78.89, 0.37; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 78.86, 0.4; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 78.83, 0.43; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 78.74, 0.4; GCF_000311925.1, s__Alistipes obesi, 95.0, 78.7, 0.37; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 78.69, 0.37; GCF_900604385.1, s__Alistipes sp002159375, 95.0, 78.62, 0.35; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 78.54, 0.44; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 78.48, 0.31; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 78.4, 0.36; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 78.4, 0.37; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 78.36, 0.33; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.2, 0.28; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 78.09, 0.32; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 77.94, 0.33; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.42, 0.2; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.42, 0.24; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.32, 0.16; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.27, 0.18; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.23, 0.16; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.36, 0.18	83.91	11	N/A	N/A
bin.167	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	GCA_003293635.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	98.26	0.97	GCA_003293635.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	98.26	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002313795.1, s__Faecalibacterium prausnitzii_L, 95.0, 86.32, 0.68; GCF_002550035.1, s__Faecalibacterium prausnitzii_E, 95.0, 84.8, 0.8; GCF_002549975.1, s__Faecalibacterium prausnitzii_H, 95.0, 84.62, 0.81; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 84.18, 0.82; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 84.0, 0.77; GCF_000162015.1, s__Faecalibacterium prausnitzii_C, 95.0, 83.94, 0.79; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 83.75, 0.69; GCA_900539885.1, s__Faecalibacterium sp900539885, 95.0, 83.75, 0.74; GCA_900539945.1, s__Faecalibacterium sp900539945, 95.0, 83.62, 0.74; GCF_002549755.1, s__Faecalibacterium prausnitzii_D, 95.0, 83.46, 0.73; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 83.23, 0.75; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.06, 83.09, 0.75; GCF_002550015.1, s__Faecalibacterium prausnitzii_A, 95.06, 83.07, 0.72; GCA_003449675.1, s__Faecalibacterium sp003449675, 95.0, 82.45, 0.56; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 81.92, 0.69; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 80.94, 0.59; GCA_900540455.1, s__Faecalibacterium sp900540455, 95.0, 80.86, 0.5; GCF_002160915.1, s__Faecalibacterium sp002160915, 95.0, 80.36, 0.55	69.84	11	N/A	N/A
bin.168	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325	GCF_001414325.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325	98.12	0.84	GCF_001414325.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325	98.12	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000436755.1, s__TF01-11 sp000436755, 95.0, 82.78, 0.66; GCF_003478445.1, s__TF01-11 sp003524945, 95.0, 77.98, 0.09; GCF_003478335.1, s__TF01-11 sp003529475, 95.0, 77.94, 0.1; GCA_003149875.1, s__TF01-11 sp003149875, 95.0, 77.44, 0.14; GCF_003481585.1, s__TF01-11 sp001916135, 95.0, 77.37, 0.1; GCF_003611745.1, s__TF01-11 sp003611745, 95.0, 76.98, 0.07; GCA_002361175.1, s__TF01-11 sp002361175, 95.0, 76.72, 0.11; GCA_002499945.1, s__TF01-11 sp002499945, 95.0, 76.56, 0.12; GCF_003612285.1, s__TF01-11 sp003612285, 95.0, 76.48, 0.07; GCA_002493085.1, s__TF01-11 sp002493085, 95.0, 76.43, 0.11	85.6	11	N/A	N/A
bin.169	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	GCA_900545925.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	98.14	0.84	GCA_900545925.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	98.14	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900556635.1, s__CAG-170 sp900556635, 95.0, 97.81, 0.57; GCA_000432135.1, s__CAG-170 sp000432135, 95.0, 90.33, 0.65; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 83.61, 0.61; GCA_000436735.1, s__CAG-170 sp000436735, 95.0, 81.63, 0.35; GCA_900548625.1, s__CAG-170 sp900548625, 95.0, 80.81, 0.34; GCA_900555665.1, s__CAG-170 sp900555665, 95.0, 79.86, 0.28; GCA_002437575.1, s__CAG-170 sp002437575, 95.0, 79.82, 0.31; GCA_900553545.1, s__CAG-170 sp900553545, 95.0, 79.73, 0.38; GCA_002298695.1, s__CAG-170 sp002298695, 95.0, 79.51, 0.3; GCA_003516765.1, s__CAG-170 sp003516765, 95.0, 79.37, 0.29; GCA_004555655.1, s__CAG-170 sp004555655, 95.0, 79.21, 0.33; GCA_900549635.1, s__CAG-170 sp900549635, 95.0, 78.96, 0.29	69.7	11	N/A	N/A
bin.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A sp002395695	GCA_002395695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A sp002395695	98.25	0.96	GCA_002395695.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A sp002395695	98.25	0.96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_004555915.1, s__Butyricicoccus_A sp004555915, 95.0, 80.26, 0.48; GCF_002157465.1, s__Butyricicoccus_A porcorum, 95.0, 79.9, 0.47; GCA_002449635.1, s__Butyricicoccus_A sp002449635, 95.0, 79.19, 0.49	93.08	11	N/A	N/A
bin.170	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	GCF_000374505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	98.49	0.95	GCF_000374505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	98.49	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000265365.1, s__Alistipes finegoldii, 95.0, 84.36, 0.62; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 81.65, 0.5; GCF_900083545.1, s__Alistipes sp900083545, 95.0, 81.55, 0.52; GCF_000210575.1, s__Alistipes shahii, 95.0, 81.46, 0.52; GCF_900107675.1, s__Alistipes timonensis, 95.0, 81.46, 0.5; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 81.46, 0.49; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 81.25, 0.48; GCF_006542685.1, s__Alistipes sp006542685, 95.0, 81.08, 0.48; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 80.8, 0.47; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 80.7, 0.44; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 80.5, 0.42; GCA_002358415.1, s__Alistipes sp002358415, 95.0, 80.08, 0.52; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 79.95, 0.54; GCF_900604385.1, s__Alistipes sp002159375, 95.0, 79.77, 0.38; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 79.74, 0.4; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 79.73, 0.35; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 79.58, 0.47; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 79.3, 0.4; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.03, 0.4; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 78.54, 0.4; GCF_000311925.1, s__Alistipes obesi, 95.0, 78.39, 0.33; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.27, 0.31; GCF_000154465.1, s__Alistipes putredinis, 95.0, 77.66, 0.24; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.3, 0.16; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.16, 0.3; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.12, 0.18; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 76.95, 0.18; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 76.6, 0.16; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.23, 0.09	53.93	11	N/A	N/A
bin.171	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides congonensis	GCF_900130125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides congonensis	97.21	0.79	GCF_900130125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides congonensis	97.21	0.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000613385.1, s__Bacteroides acidifaciens, 95.0, 89.0, 0.53; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 84.72, 0.42; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 84.37, 0.52; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 84.25, 0.54; GCF_003463205.1, s__Bacteroides sp003463205, 95.0, 83.89, 0.56; GCF_002222615.2, s__Bacteroides caccae, 95.0, 83.78, 0.49; GCA_007097645.1, s__Bacteroides sp007097645, 95.0, 83.68, 0.49; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 83.31, 0.53; GCF_000156195.1, s__Bacteroides finegoldii, 95.75, 83.01, 0.45; GCA_007197895.1, s__Bacteroides sp900066265, 95.75, 82.88, 0.48; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 81.7, 0.17; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 81.14, 0.44; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 81.13, 0.42; GCF_900106755.1, s__Bacteroides faecis, 95.0, 80.83, 0.4; GCF_003865075.1, s__Bacteroides sp003865075, 95.0, 79.4, 0.24; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 79.34, 0.24; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 79.32, 0.15; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 79.2, 0.26; GCA_900556215.1, s__Bacteroides sp900556215, 95.0, 78.38, 0.17; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 77.93, 0.16; GCF_000613465.1, s__Bacteroides nordii, 95.0, 77.82, 0.17; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 77.82, 0.16; GCF_900129655.1, s__Bacteroides clarus, 95.0, 77.74, 0.17; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 77.68, 0.19; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 77.68, 0.17; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 77.65, 0.16; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 77.59, 0.15; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 77.53, 0.15; GCF_003438615.1, s__Bacteroides sp003545565, 95.0, 77.52, 0.18; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 77.49, 0.15; GCA_000511775.1, s__Bacteroides pyogenes_A, 95.0, 77.44, 0.2; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.43, 0.21; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 77.41, 0.16; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 77.4, 0.17; GCF_000154205.1, s__Bacteroides uniformis, 95.0, 77.38, 0.13; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 77.37, 0.15; GCF_000614125.1, s__Bacteroides rodentium, 95.0, 77.37, 0.13; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 77.32, 0.13; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 77.31, 0.15; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 77.31, 0.15; GCA_900552405.1, s__Bacteroides sp900552405, 95.0, 77.31, 0.16; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 77.28, 0.14; GCF_900241005.1, s__Bacteroides cutis, 95.0, 77.23, 0.16; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 77.14, 0.12; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 77.1, 0.09; GCF_000499785.1, s__Bacteroides neonati, 95.0, 77.02, 0.11; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 76.97, 0.12; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 76.87, 0.13; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 76.73, 0.1; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 76.68, 0.08; GCF_900130135.1, s__Bacteroides togonis, 95.0, 76.63, 0.08; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.6, 0.05; GCA_900553815.1, s__Bacteroides sp900553815, 95.0, 76.52, 0.08; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 76.49, 0.08; GCF_900128475.1, s__Bacteroides massiliensis, 95.0, 76.48, 0.1; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 76.45, 0.07; GCF_900128905.1, s__Bacteroides luti, 95.0, 76.36, 0.06; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 76.26, 0.07; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 76.17, 0.05	55.75	11	N/A	N/A
bin.172	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	GCF_000011065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	98.96	0.94	GCF_000011065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	98.96	0.94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900106755.1, s__Bacteroides faecis, 95.0, 88.74, 0.75; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 81.35, 0.37; GCA_007097645.1, s__Bacteroides sp007097645, 95.0, 80.92, 0.45; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 80.89, 0.46; GCF_000613385.1, s__Bacteroides acidifaciens, 95.0, 80.86, 0.37; GCF_003463205.1, s__Bacteroides sp003463205, 95.0, 80.7, 0.46; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 80.62, 0.47; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 80.54, 0.46; GCF_002222615.2, s__Bacteroides caccae, 95.0, 80.52, 0.4; GCF_000156195.1, s__Bacteroides finegoldii, 95.75, 80.32, 0.36; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 80.29, 0.41; GCA_007197895.1, s__Bacteroides sp900066265, 95.75, 80.22, 0.37; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 79.95, 0.38; GCF_003865075.1, s__Bacteroides sp003865075, 95.0, 79.17, 0.29; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 78.85, 0.28; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 78.83, 0.29; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 78.53, 0.16; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 77.88, 0.13; GCA_900556215.1, s__Bacteroides sp900556215, 95.0, 77.74, 0.15; GCF_000613465.1, s__Bacteroides nordii, 95.0, 77.64, 0.16; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 77.59, 0.17; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 77.54, 0.13; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 77.52, 0.19; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.46, 0.19; GCA_900552405.1, s__Bacteroides sp900552405, 95.0, 77.42, 0.16; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 77.41, 0.17; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 77.4, 0.16; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 77.4, 0.14; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 77.38, 0.13; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 77.33, 0.16; GCA_000511775.1, s__Bacteroides pyogenes_A, 95.0, 77.32, 0.18; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 77.29, 0.14; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 77.29, 0.09; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 77.22, 0.17; GCF_000614125.1, s__Bacteroides rodentium, 95.0, 77.22, 0.12; GCF_900241005.1, s__Bacteroides cutis, 95.0, 76.98, 0.12; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 76.96, 0.12; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 76.91, 0.15; GCF_003438615.1, s__Bacteroides sp003545565, 95.0, 76.9, 0.13; GCF_000154205.1, s__Bacteroides uniformis, 95.0, 76.9, 0.13; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 76.89, 0.12; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 76.87, 0.15; GCF_900129655.1, s__Bacteroides clarus, 95.0, 76.87, 0.15; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 76.74, 0.11; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 76.73, 0.11; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 76.57, 0.11; GCF_900128475.1, s__Bacteroides massiliensis, 95.0, 76.45, 0.08; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 76.41, 0.1; GCF_000499785.1, s__Bacteroides neonati, 95.0, 76.41, 0.09; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 76.38, 0.1; GCA_900553815.1, s__Bacteroides sp900553815, 95.0, 76.35, 0.07; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 76.23, 0.06; GCF_900130135.1, s__Bacteroides togonis, 95.0, 76.2, 0.07; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 76.12, 0.07; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 76.05, 0.07; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 76.03, 0.07; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.01, 0.05; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 75.92, 0.05; GCF_900128905.1, s__Bacteroides luti, 95.0, 75.53, 0.05	57.72	11	N/A	N/A
bin.173	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__CAG-460 sp000438075	GCA_000438075.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__CAG-460 sp000438075	97.62	0.93	GCA_000438075.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__CAG-460 sp000438075	97.62	0.93	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000437355.1, s__CAG-460 sp000437355, 95.0, 82.08, 0.6; GCA_900544625.1, s__CAG-460 sp900544625, 95.0, 81.27, 0.58; GCA_900551525.1, s__CAG-460 sp900551525, 95.0, 81.24, 0.62; GCA_900546715.1, s__CAG-460 sp900546715, 95.0, 78.48, 0.3; GCA_002439555.1, s__CAG-460 sp002439555, 95.0, 77.06, 0.16; GCA_000437315.1, s__CAG-460 sp000437315, 95.0, 76.47, 0.18	82.92	11	N/A	N/A
